Name,Gender,Department,Sum of Salary,Location,Rating,Gender_Status,Salary (bins)
Aloisia Minto,Male,Research and Development,41420,Abuja,Good,Male,40000
Alta Kaszper,Male,Training,54970,Lagos,Average,Male,50000
Althea Bronger,Male,Product Management,104340,Kaduna,Average,Male,100000
Althea Bronger,Male,Product Management,104340,Kaduna,Poor,Male,100000
Aluin Churly,Female,Research and Development,96560,Kaduna,Not Rated,Female,90000
Alvie Keming,Female,Legal,37840,Kaduna,Poor,Female,30000
Alyosha Riquet,Male,Legal,89840,Abuja,Very Good,Male,80000
Alysa Wankling,"",Legal,106460,Lagos,Good,Undisclosed,100000
Amaleta Baltzar,"",Research and Development,70080,Lagos,Very Poor,Undisclosed,70000
Amandy Jope,Male,Accounting,99630,Abuja,Average,Male,90000
Ambros Murthwaite,Male,Sales,70610,Lagos,Average,Male,70000
Ambrosio Daniely,Female,Support,80060,Kaduna,Very Good,Female,80000
Amery Ofer,Female,Legal,111050,Abuja,Very Good,Female,110000
Amii Elms,Female,Business Development,53920,Kaduna,Poor,Female,50000
Amitie Mawson,Female,Marketing,116500,Lagos,Not Rated,Female,110000
Anabal Cooke,Female,Product Management,31920,Kaduna,Average,Female,30000
Ancell Moretto,Female,Product Management,96920,Abuja,Very Poor,Female,90000
Andrea Becker,Female,Human Resources,46160,Kaduna,Average,Female,40000
Andrea Penfold,Male,Marketing,70230,Kaduna,Average,Male,70000
Andria Kimpton,Male,Product Management,69120,Abuja,Average,Male,60000
Andria Kimpton,Male,Product Management,69120,Kaduna,Average,Male,60000
Angela Bangley,Female,Training,50810,Abuja,Not Rated,Female,50000
Angeline Christophersen,Female,Engineering,86940,Abuja,Poor,Female,80000
Angeline Christophersen,Female,Engineering,86940,Kaduna,Average,Female,80000
Anjanette Ferre,"",Human Resources,67960,Abuja,Average,Undisclosed,60000
Anjela Spancock,"",Accounting,98010,Lagos,Average,Undisclosed,90000
Anne-corinne Daulby,Male,Engineering,78640,Lagos,Good,Male,70000
Anni Dinse,Male,Product Management,119670,Lagos,Average,Male,110000
Anni Dinse,Male,Product Management,119670,Lagos,Not Rated,Male,110000
Anni Izzard,Male,Human Resources,103490,Abuja,Good,Male,100000
Ansley Gounel,Female,Product Management,38440,Abuja,Poor,Female,30000
Ansley Gounel,Female,Product Management,38440,Lagos,Average,Female,30000
Antone Tolmie,Male,Training,110820,Kaduna,Good,Male,110000
Antonetta Coggeshall,Male,Sales,96750,Kaduna,Average,Male,90000
Antonino Forsdicke,Male,Product Management,66370,Abuja,Average,Male,60000
Antonino Forsdicke,Male,Product Management,66370,Lagos,Average,Male,60000
Appolonia Snook,Female,Services,93880,Kaduna,Average,Female,90000
Archaimbaud Pinchin,Male,Marketing,40270,Kaduna,Average,Male,40000
Archibald Dyzart,Male,Product Management,63020,Abuja,Average,Male,60000
Archibald Filliskirk,Male,Research and Development,40400,Abuja,Very Good,Male,40000
Archibaldo Denny,Female,Product Management,69740,Lagos,Not Rated,Female,60000
Ardella Dyment,Female,Business Development,70650,Kaduna,Good,Female,70000
Ardyce Eacott,Female,Human Resources,92470,Kaduna,Average,Female,90000
Aretha Ettridge,Female,Accounting,33760,Abuja,Average,Female,30000
Arty Duigan,Male,Legal,108600,Abuja,Very Good,Male,100000
Ashien Gallen,Female,Research and Development,115080,Abuja,Very Good,Female,110000
Aubert Wedmore.,Female,Marketing,61330,Lagos,Average,Female,60000
Audry Yu,Female,Training,101190,Abuja,Average,Female,100000
Augusta Cheetham,Male,Research and Development,105470,Abuja,Average,Male,100000
Aurelea Devitt,Male,Support,58840,Abuja,Average,Male,50000
Aurelia Stanners,Female,Services,98630,Lagos,Good,Female,90000
Austine Littlewood,Female,Services,32270,Abuja,Average,Female,30000
Ava Whordley,Female,Product Management,104210,Abuja,Very Good,Female,100000
Avigdor Karel,Male,Training,71210,Kaduna,Average,Male,70000
Axel Grigaut,Male,Sales,110780,Abuja,Poor,Male,110000
Barbara-anne Kenchington,Female,Support,88030,Abuja,Average,Female,80000
Barbara-anne Kenchington,Female,Support,88030,Kaduna,Very Good,Female,80000
Bari Toffano,Male,Product Management,106780,Kaduna,Poor,Male,100000
Barnaby Farnall,"",Engineering,118800,Kaduna,Very Good,Undisclosed,110000
Barney Bonafant,Female,Engineering,48060,Abuja,Poor,Female,40000
Barny Fairweather,Male,Marketing,77130,Lagos,Very Poor,Male,70000
Barr Faughny,Female,Marketing,68010,Abuja,Average,Female,60000
Barri Teacy,Female,Accounting,86240,Lagos,Average,Female,80000
Baudoin Dummigan,Male,Legal,114510,Kaduna,Average,Male,110000
Baxter Brocks,Female,Human Resources,39680,Abuja,Poor,Female,30000
Bayard Gendricke,Male,Legal,40980,Kaduna,Very Poor,Male,40000
Beatrix Schoales,"",Sales,114010,Kaduna,Average,Undisclosed,110000
Beatriz Bateson,Male,Marketing,89090,Kaduna,Good,Male,80000
Bebe Pollicott,Female,Legal,87740,Kaduna,Average,Female,80000
Bendite Bloan,Male,Marketing,31820,Lagos,Average,Male,30000
Bennett Gimenez,Female,Human Resources,36460,Abuja,Good,Female,30000
Benni Simounet,Male,Research and Development,115790,Lagos,Very Poor,Male,110000
Benny Karolovsky,"",Human Resources,115440,Abuja,Average,Undisclosed,110000
Benoite Ackermann,Female,Services,57080,Abuja,Average,Female,50000
Berenice Osbaldstone,Female,Legal,58280,Abuja,Average,Female,50000
Berna Dubery,Male,Services,69730,Kaduna,Very Poor,Male,60000
Bernie Gorges,Female,Training,99970,Lagos,Average,Female,90000
Berny Bastide,"",Research and Development,56710,Kaduna,Average,Undisclosed,50000
Bert Yaakov,Male,Research and Development,72040,Kaduna,Poor,Male,70000
Beryl Burnsyde,Male,Legal,29770,Abuja,Very Good,Male,20000
Beryl Burnsyde,Male,Legal,29770,Lagos,Good,Male,20000
Bethanne Leicester,"",Services,72450,Abuja,Not Rated,Undisclosed,70000
Bette-ann Leafe,Male,Human Resources,93500,Abuja,Average,Male,90000
Bev Lashley,Male,Business Development,112110,Kaduna,Not Rated,Male,110000
Beverie Moffet,Female,Support,75970,Abuja,Very Good,Female,70000
Beverie Moffet,Female,Support,75970,Kaduna,Average,Female,70000
Bili Sizey,Male,Research and Development,36040,Abuja,Average,Male,30000
Billi Fellgate,Female,Business Development,68980,Kaduna,Average,Female,60000
Billie Croucher,Female,Engineering,75230,Kaduna,Poor,Female,70000
Blaire Ruckman,Male,Business Development,61700,Kaduna,Average,Male,60000
Blythe Clipston,Female,Human Resources,35670,Kaduna,Average,Female,30000
Bobina Teale,Male,Marketing,116890,Kaduna,Average,Male,110000
Bogey Hitcham,Male,Product Management,106170,Abuja,Good,Male,100000
Bogey Hitcham,Male,Product Management,106170,Lagos,Poor,Male,100000
Bordy Yatman,Female,Product Management,108450,Lagos,Good,Female,100000
Brad Gumb,Male,Accounting,38830,Kaduna,Good,Male,30000
Bren Absolon,Male,Accounting,74710,Abuja,Good,Male,70000
Brendan Edgeller,Female,Legal,31040,Abuja,Good,Female,30000
Brien Boise,Female,Research and Development,58100,Kaduna,Very Good,Female,50000
Brig Dewi,Male,Sales,108250,Lagos,Average,Male,100000
Brigid Jeffrey,Female,Support,53910,Kaduna,Good,Female,50000
Brit Hamnett,Male,Human Resources,75540,Abuja,Average,Male,70000
Brodie Grimstead,Male,Business Development,117850,Kaduna,Good,Male,110000
Brose MacCorkell,Female,Human Resources,35940,Kaduna,Average,Female,30000
Brose MacCorkell,Female,Human Resources,35940,Lagos,Poor,Female,30000
Bryana Loyns,Male,Sales,55280,Kaduna,Average,Male,50000
Bryant Scamp,Female,Human Resources,29810,Kaduna,Average,Female,20000
Burtie Moulden,Female,Services,116220,Lagos,Poor,Female,110000
Callie Duckels,Male,Product Management,53760,Abuja,Average,Male,50000
Calvin O'Carroll,Female,Research and Development,44450,Abuja,Very Good,Female,40000
Calvin O'Carroll,Female,Research and Development,44450,Kaduna,Very Poor,Female,40000
Camilla Castle,Female,Product Management,75480,Kaduna,Average,Female,70000
Camille Baldinotti,Female,Product Management,41700,Lagos,Good,Female,40000
Candace Hanlon,Male,Support,46280,Lagos,Average,Male,40000
Candy Aindrais,Female,Business Development,116590,Lagos,Very Good,Female,110000
Cara Havers,Male,Marketing,89610,Kaduna,Very Good,Male,80000
Cara Havers,Male,Marketing,89610,Lagos,Good,Male,80000
Caresa Christer,Male,Support,59260,Lagos,Poor,Male,50000
Caritta Searl,Male,Sales,54010,Kaduna,Poor,Male,50000
Carlene Torry,Female,Engineering,59610,Lagos,Good,Female,50000
Carlin Demke,Male,Business Development,110040,Lagos,Good,Male,110000
Carmel Pancoust,Female,Services,119550,Abuja,Good,Female,110000
Caro Chappel,Female,Sales,104410,Kaduna,Average,Female,100000
Caro Hainsworth,Male,Marketing,77470,Kaduna,Good,Male,70000
Carolin Fieldstone,Female,Marketing,36920,Kaduna,Average,Female,30000
Carolina Blumsom,Male,Legal,28580,Abuja,Average,Male,20000
Carolyn Attack,Female,Marketing,70760,Lagos,Good,Female,70000
Caron Kolakovic,Male,Accounting,49920,Kaduna,Average,Male,40000
Carry Loblie,Female,Sales,47550,Kaduna,Average,Female,40000
Cathi Delgardo,Male,Product Management,111910,Abuja,Good,Male,110000
Cathi Delgardo,Male,Product Management,111910,Abuja,Not Rated,Male,110000
Cathi Gillbee,Male,Legal,41790,Abuja,Average,Male,40000
Cathrin Yanuk,Male,Sales,44120,Lagos,Very Poor,Male,40000
Cathyleen Hurch,Female,Sales,49390,Lagos,Average,Female,40000
Caty Janas,Male,Accounting,93210,Lagos,Poor,Male,90000
Cecilia Marshalleck,Female,Marketing,118980,Abuja,Not Rated,Female,110000
Cecilio Sprankling,Male,Research and Development,109710,Abuja,Average,Male,100000
Cecilla Joselevitch,Female,Human Resources,77840,Abuja,Poor,Female,70000
Cecilla Northen,Male,Human Resources,92870,Abuja,Average,Male,90000
Chancey Dyos,Male,Sales,118060,Kaduna,Good,Male,110000
Charline Husset,Male,Support,94530,Abuja,Poor,Male,90000
Charmaine Howie,Male,Accounting,56810,Kaduna,Poor,Male,50000
Charmane Heistermann,Female,Business Development,86560,Kaduna,Average,Female,80000
Chas Happel,Female,Services,30940,Kaduna,Very Poor,Female,30000
Chauncey Schild,Female,Support,107340,Abuja,Average,Female,100000
Chauncey Schild,Female,Support,107340,Lagos,Very Good,Female,100000
Chelsea Itzak,Male,Support,61100,Kaduna,Average,Male,60000
Cherlyn Barter,Female,Accounting,104120,Abuja,Good,Female,100000
Cheryl Mantz,Male,Sales,35740,Kaduna,Good,Male,30000
Ches Bonnell,Male,Sales,88050,Lagos,Very Good,Male,80000
Christoph Stretton,Female,Business Development,90240,Abuja,Poor,Female,90000
Christopher Kezourec,Male,Training,55310,Kaduna,Very Poor,Male,50000
Christos Wintle,Male,Engineering,74360,Lagos,Good,Male,70000
Chrisy Kyme,Female,Marketing,99200,Lagos,Very Good,Female,90000
Cindee Saice,Female,Services,103360,Abuja,Very Good,Female,100000
Cindi McDuffy,Female,Services,87930,Abuja,Very Poor,Female,80000
Cindi Stratten,Female,Services,99200,Lagos,Good,Female,90000
Clarine Shambrooke,"",Support,93160,Lagos,Average,Undisclosed,90000
Claudetta Petherick,Female,Legal,54520,Abuja,Poor,Female,50000
Clemmie Hebblewaite,"",Services,54130,Kaduna,Very Poor,Undisclosed,50000
Cletus McGarahan,Female,Engineering,114430,Kaduna,Very Good,Female,110000
Cletus McGarahan,Female,Engineering,114430,Lagos,Good,Female,110000
Cleveland Pottiphar,Female,Marketing,74600,Lagos,Very Good,Female,70000
Clo Jimpson,Male,Legal,57620,Abuja,Good,Male,50000
Clo Jimpson,Male,Legal,57620,Lagos,Very Poor,Male,50000
Cly Vizard,Male,Business Development,51520,Abuja,Average,Male,50000
Codi Beck,Female,Business Development,40560,Lagos,Poor,Female,40000
Codie Gaunson,Male,Accounting,83590,Abuja,Poor,Male,80000
Colby Reuven,Male,Business Development,101790,Lagos,Average,Male,100000
Collen Dunbleton,Male,Engineering,118980,Abuja,Poor,Male,110000
Collette Blackaller,Female,Human Resources,42380,Kaduna,Good,Female,40000
Collin Jagson,Male,Services,100420,Abuja,Poor,Male,100000
Colly Littledike,Female,Services,117150,Lagos,Average,Female,110000
Conchita Soden,Male,Marketing,74410,Abuja,Good,Male,70000
Constantino Espley,Male,Accounting,96800,Abuja,Average,Male,90000
Corabel Luberto,Female,Human Resources,57820,Kaduna,Average,Female,50000
Cordelia Djuricic,Female,Human Resources,65350,Abuja,Very Poor,Female,60000
Corina Triner,Male,Sales,66100,Kaduna,Poor,Male,60000
Corinna Griffiths,Male,Support,75010,Kaduna,Good,Male,70000
Cornie Arstall,Female,Product Management,69970,Abuja,Average,Female,60000
Corny Linturn,Female,Product Management,47960,Kaduna,Poor,Female,40000
Courtney Given,Male,Engineering,43600,Abuja,Average,Male,40000
Craggie Whistlecraft,Male,Product Management,71240,Abuja,Average,Male,70000
Crawford Scad,Male,Human Resources,72880,Kaduna,Average,Male,70000
Crawford Scad,Male,Human Resources,72880,Lagos,Average,Male,70000
Crissie Cordel,Female,Product Management,41570,Abuja,Good,Female,40000
Cristal Demangeot,Female,Sales,72350,Abuja,Good,Female,70000
Cristal Demangeot,Female,Sales,72350,Kaduna,Poor,Female,70000
Cull Nannetti,Male,Support,68090,Kaduna,Average,Male,60000
Cullie Bourcq,Female,Sales,45590,Abuja,Good,Female,40000
Curtice Advani,Male,Product Management,59810,Lagos,Average,Male,50000
Curtice Advani,Male,Product Management,59810,Lagos,Good,Male,50000
Cyndia Skedge,Male,Support,52630,Abuja,Average,Male,50000
Cyril Medford,Female,Research and Development,85720,Abuja,Average,Female,80000
Cyrillus Garci,Male,Business Development,100360,Lagos,Average,Male,100000
Dael Bugge,Male,Training,62690,Lagos,Poor,Male,60000
Daisie Dahlman,Female,Human Resources,61990,Lagos,Not Rated,Female,60000
Daisie McNeice,Male,Human Resources,50310,Kaduna,Average,Male,50000
Damien Netley,Male,Engineering,98110,Abuja,Good,Male,90000
Dane Wudeland,Female,Accounting,80030,Kaduna,Poor,Female,80000
Danica Nayshe,Female,Services,89690,Kaduna,Good,Female,80000
Danica Nayshe,Female,Services,89690,Kaduna,Not Rated,Female,80000
Danielle Johananoff,Male,Services,109040,Lagos,Average,Male,100000
Daphne Francillo,Male,Training,63370,Lagos,Average,Male,60000
Darcy Brewitt,Male,Human Resources,116670,Kaduna,Average,Male,110000
Dare Tully,Male,Business Development,39780,Lagos,Not Rated,Male,30000
Daron Biaggioli,Female,Product Management,112550,Kaduna,Average,Female,110000
Daryn Kniveton,Female,Marketing,108390,Lagos,Poor,Female,100000
Daven Smout,Female,Support,50800,Abuja,Very Good,Female,50000
Dayle O'Luney,Female,Research and Development,46750,Abuja,Good,Female,40000
Dayle O'Luney,Female,Research and Development,46750,Lagos,Average,Female,40000
De witt Lottrington,Female,Sales,98360,Abuja,Very Poor,Female,90000
Dean Biggam,Female,Training,71570,Abuja,Not Rated,Female,70000
Debera Gow,Female,Research and Development,39700,Lagos,Average,Female,30000
Deck McCallion,Male,Sales,33890,Abuja,Average,Male,30000
Delinda Snozzwell,"",Engineering,134020,Abuja,Good,Undisclosed,60000
Dell Molloy,Male,Engineering,47360,Abuja,Poor,Male,40000
Delora Arendt,Female,Marketing,67620,Abuja,Good,Female,60000
Delphine Jewis,Female,Accounting,71820,Kaduna,Average,Female,70000
Demetria Le Estut,Female,Support,75720,Abuja,Very Poor,Female,70000
Denni Wiggans,Male,Product Management,81220,Lagos,Poor,Male,80000
Dennison Crosswaite,Male,Legal,90700,Abuja,Very Poor,Male,90000
Derk Bosson,Female,Legal,75870,Lagos,Average,Female,70000
Desi Peniman,Female,Legal,31090,Kaduna,Average,Female,30000
Desi Peniman,Female,Legal,31090,Lagos,Average,Female,30000
Devinne Tuny,Male,Engineering,39970,Kaduna,Average,Male,30000
Dewie Stodart,Male,Accounting,78020,Kaduna,Average,Male,70000
Diarmid Alman,Female,Training,98200,Abuja,Poor,Female,90000
Dino Wooderson,Male,Legal,52120,Abuja,Poor,Male,50000
Dionne Garrish,Female,Engineering,41600,Abuja,Good,Female,40000
Doe Clubley,Female,Product Management,67820,Kaduna,Not Rated,Female,60000
Dolley Grayley,Female,Legal,48980,Abuja,Very Good,Female,40000
Dominic Ortler,Female,Product Management,66610,Abuja,Average,Female,60000
Doralyn Segar,Female,Support,30000,Kaduna,Average,Female,30000
Dorise Labat,Male,Business Development,101610,Kaduna,Average,Male,100000
Doro Nolte,Female,Services,109050,Kaduna,Average,Female,100000
Dorolice Farry,Female,Sales,76300,Kaduna,Average,Female,70000
Dotty Strutley,Female,Engineering,41980,Lagos,Average,Female,40000
Dov Thoresby,Male,Support,115490,Abuja,Poor,Male,110000
Drusy MacCombe,Male,Training,43510,Kaduna,Average,Male,40000
Duffie Ibel,Male,Sales,61010,Kaduna,Average,Male,60000
Duky Wallace,Male,Business Development,102140,Kaduna,Average,Male,100000
Dulsea Folkes,Female,Services,42160,Abuja,Average,Female,40000
Dulsea Folkes,Female,Services,42160,Lagos,Very Good,Female,40000
Durand Backhouse,Female,Sales,83400,Kaduna,Poor,Female,80000
Dyanne Strafen,Male,Engineering,113800,Lagos,Average,Male,110000
Dyna Doucette,Male,Sales,103550,Abuja,Average,Male,100000
Easter Pyke,Female,Training,95680,Abuja,Average,Female,90000
Easter Pyke,Female,Training,95680,Kaduna,Very Good,Female,90000
Eberto William,Female,Research and Development,57750,Abuja,Average,Female,50000
Ebonee Roxburgh,Male,Training,67950,Kaduna,Very Good,Male,60000
Edd MacKnockiter,Male,Accounting,119020,Lagos,Poor,Male,110000
Eddy Stolze,Male,Training,47760,Kaduna,Average,Male,40000
Ede Mignot,Female,Research and Development,98640,Kaduna,Good,Female,90000
Edgard Irving,"",Research and Development,87290,Kaduna,Good,Undisclosed,80000
Edi Hofton,Male,Research and Development,28160,Abuja,Not Rated,Male,20000
Effie Vasilov,Male,Support,60010,Lagos,Average,Male,60000
Efrem Mathonnet,Female,Human Resources,107020,Kaduna,Average,Female,100000
Egor Minto,"",Legal,63450,Abuja,Good,Undisclosed,60000
Eilis Pavlasek,Male,Product Management,115190,Kaduna,Very Poor,Male,110000
Eldredge MacClure,Male,Legal,46990,Kaduna,Average,Male,40000
Eleni O'Quin,Male,Legal,89020,Lagos,Average,Male,80000
Eleonore Airdrie,Female,Engineering,97110,Abuja,Average,Female,90000
Elia Cockton,Female,Support,75280,Kaduna,Average,Female,70000
Elliot Tuplin,Female,Sales,44530,Kaduna,Average,Female,40000
Elwira Lyddiard,Male,Product Management,31280,Abuja,Average,Male,30000
Emanuel Beldan,Male,Accounting,94070,Abuja,Average,Male,90000
Emmanuel Westrey,Female,Support,87400,Kaduna,Average,Female,80000
Emmeline Bestwerthick,Female,Sales,38240,Kaduna,Not Rated,Female,30000
Emmye Corry,Male,Services,109030,Abuja,Very Good,Male,100000
Emory Whitten,Female,Product Management,52000,Lagos,Not Rated,Female,50000
Enrichetta Mowles,Female,Accounting,74390,Kaduna,Average,Female,70000
Erin Androsik,Male,Human Resources,48530,Kaduna,Poor,Male,40000
Erin Androsik,Male,Human Resources,48530,Lagos,Very Good,Male,40000
Ernestus O'Hengerty,Female,Research and Development,31020,Abuja,Average,Female,30000
Erv Balmann,Female,Services,29670,Lagos,Very Good,Female,20000
Erv Havill,Female,Accounting,106080,Abuja,Not Rated,Female,100000
Esmaria Denecamp,Male,Marketing,48980,Kaduna,Very Poor,Male,40000
Estell Kingsland,Male,Sales,32190,Kaduna,Average,Male,30000
Euell Willoughley,Male,Product Management,105800,Kaduna,Very Good,Male,100000
Evangelia Gowers,Male,Business Development,118450,Kaduna,Very Good,Male,110000
Evangelina Lergan,Male,Support,61210,Kaduna,Average,Male,60000
Evanne Levens,Male,Human Resources,36880,Kaduna,Good,Male,30000
Evanne Sheryn,Female,Services,81900,Abuja,Average,Female,80000
Evyn Fyrth,Male,Support,90080,Kaduna,Average,Male,90000
Eward Astlett,Male,Engineering,41670,Lagos,Average,Male,40000
Ewart Hovel,Female,Training,116770,Lagos,Good,Female,110000
Ewart Laphorn,Female,Training,119110,Kaduna,Good,Female,110000
Faina Durand,Male,Sales,114650,Kaduna,Very Poor,Male,110000
Fairfax Wallsam,"",Sales,88590,Abuja,Average,Undisclosed,80000
Fanchon Furney,Male,Accounting,95950,Abuja,Average,Male,90000
Fancy Bonin,"",Training,84680,Lagos,Good,Undisclosed,80000
Farrel Vanyatin,Male,Support,118120,Lagos,Average,Male,110000
Farris Ditchfield,Male,Human Resources,58030,Kaduna,Good,Male,50000
Faun Rickeard,Male,Product Management,74920,Lagos,Average,Male,70000
Faunie Sinton,Female,Sales,115230,Abuja,Good,Female,110000
Fax Scotland,Female,Marketing,57640,Abuja,Average,Female,50000
Fedora Graffin,Male,Research and Development,92500,Lagos,Good,Male,90000
Felicdad Heibel,Male,Business Development,60800,Abuja,Average,Male,60000
Felice McMurty,Female,Product Management,66870,Abuja,Not Rated,Female,60000
Felipe Parkman,Female,Training,90150,Abuja,Very Good,Female,90000
Felita Whitloe,Male,Training,63450,Kaduna,Good,Male,60000
Ferrell Skepper,Female,Research and Development,30250,Kaduna,Average,Female,30000
Fidela Artis,Female,Sales,78020,Lagos,Average,Female,70000
Fidela Dowey,Female,Engineering,86740,Lagos,Very Good,Female,80000
Fidelio Rigmond,Male,Services,96370,Lagos,Not Rated,Male,90000
Filmore Fitzhenry,Male,Human Resources,108170,Kaduna,Not Rated,Male,100000
Floria Olivia,Female,Sales,101500,Abuja,Good,Female,100000
Florie Tortoise,Female,Sales,35930,Abuja,Average,Female,30000
Florinda Crace,Female,Sales,45510,Abuja,Good,Female,40000
Floyd Cowgill,Male,Support,37060,Kaduna,Average,Male,30000
Fonzie O'Shea,Male,Product Management,80360,Kaduna,Average,Male,80000
Forester Feakins,Male,Business Development,47290,Abuja,Average,Male,40000
Foss Asquez,Male,Support,92190,Abuja,Average,Male,90000
Foss Asquez,Male,Support,92190,Kaduna,Not Rated,Male,90000
Franchot Crocken,Female,Accounting,29610,Abuja,Average,Female,20000
Francoise Godbold,Male,Sales,46350,Kaduna,Average,Male,40000
Frasier Straw,Male,Business Development,71370,Lagos,Average,Male,70000
Frasquito Mosley,"",Support,48090,Abuja,Not Rated,Undisclosed,40000
Fred Dudeney,Male,Services,88690,Abuja,Very Good,Male,80000
Fred Dudeney,Male,Services,88690,Lagos,Poor,Male,80000
Freda Legan,Female,Sales,102130,Kaduna,Average,Female,100000
Freddie Johnikin,Male,Support,64960,Lagos,Average,Male,60000
Freddy Linford,Female,Training,93130,Kaduna,Poor,Female,90000
Frederik Dartan,Male,Engineering,62090,Abuja,Very Good,Male,60000
Gabie Millichip,Male,Legal,49760,Abuja,Very Good,Male,40000
Gamaliel Ewins,Male,Product Management,119660,Abuja,Average,Male,110000
Gardy Eckersall,Male,Sales,79650,Kaduna,Good,Male,70000
Gardy Grigorey,Female,Support,107090,Kaduna,Poor,Female,100000
Gare Mattiussi,Male,Engineering,32500,Abuja,Poor,Male,30000
Garey Bird,Female,Product Management,31830,Lagos,Average,Female,30000
Garrick Hadwick,Male,Support,117810,Abuja,Average,Male,110000
Garwin Peasegood,Female,Engineering,68220,Lagos,Good,Female,60000
Garwood Penhale,Female,Business Development,96640,Kaduna,Very Good,Female,90000
Gaultiero Have,Male,Accounting,115380,Kaduna,Average,Male,110000
Gavan Puttan,Male,Accounting,35940,Abuja,Good,Male,30000
Gayla Blackadder,Female,Services,109170,Lagos,Good,Female,100000
Gearard Wixon,Male,Human Resources,106190,Abuja,Very Good,Male,100000
Genevra Friday,Female,Research and Development,50450,Lagos,Average,Female,50000
Genovera Ghost,Male,Marketing,72160,Kaduna,Average,Male,70000
Georg Dinnage,Male,Training,88330,Kaduna,Good,Male,80000
Georg Dinnage,Male,Training,88330,Kaduna,Poor,Male,80000
Georgianne Archbutt,Female,Services,45600,Kaduna,Not Rated,Female,40000
Georgie Caress,Male,Marketing,58260,Abuja,Average,Male,50000
Gerald Caple,Male,Training,59300,Kaduna,Good,Male,50000
Gerrard Doorey,Male,Product Management,110200,Abuja,Average,Male,110000
Giacobo Donke,Male,Services,118360,Kaduna,Average,Male,110000
Gideon Hehir,Female,Business Development,66510,Kaduna,Average,Female,60000
Giffer Berlin,Female,Research and Development,92340,Kaduna,Good,Female,90000
Gigi Bohling,Male,Engineering,74550,Lagos,Average,Male,70000
Gilda Richen,Female,Support,71920,Abuja,Poor,Female,70000
Gilles Jaquet,Female,Accounting,76300,Kaduna,Good,Female,70000
Gilles Jaquet,Female,Accounting,76300,Kaduna,Not Rated,Female,70000
Ginger Myott,Female,Services,31170,Abuja,Average,Female,30000
